uid,uname,login,post,life,ycf,isBM,isManager,uscore
229,pkudazongzi,148,1,118,0,0,0,0.7
230,George,3100,1242,433,0,0,0,3.9
231,wugongqingq,900,149,365,0,0,0,2.9
232,yangzeku,491,11,653,0,0,0,2.2
233,iual,887,2,363,0,0,0,1.2
234,TiSaluto,426,64,417,0,0,0,2.6
235,hiegg,54,6,115,0,0,0,0.4
236,wyz,4,0,19,0,0,0,0
237,huakai,813,16,331,0,0,0,2.2
238,shjpku,1543,1682,509,0,0,0,4
239,shaoyixian,7,0,26,0,0,0,0.1
240,pipidad,2,0,12,0,0,0,0
241,biubiubiu,195,7,124,0,0,0,2.1
242,freecy,7449,38402,999,0,1,0,9.2
243,Assassinnnnn,105,2,118,0,0,0,0.1
244,jiangqanru,649,4,453,0,0,0,2
245,APTXhy,26,2,112,0,0,0,0.3
246,sofarsogood,663,40,554,0,0,0,2.5
247,tongjingming,487,240,279,0,0,0,3.1
248,marble,275,3,72,0,0,0,1.6
249,lovepku,425,538,999,0,0,0,6.4
250,kathyy,1321,33,453,0,0,0,2.4
251,chnlkw,53,2,118,0,0,0,0
252,Liyun,3283,644,403,0,0,0,3.5
253,princejs,2485,321,258,0,0,0,3.2
254,muzi,29,2,999,0,0,0,5
255,pkuwz,1165,38,433,0,0,0,2.4
256,didiaozuoren,16,5,27,0,0,0,0.5
257,yexiaoya,1872,548,162,0,0,0,3.5
258,yeahcheng,1587,220,164,0,0,0,3
259,sysiphus,3,0,19,0,0,0,0
260,total,512,424,298,0,0,0,3.3
261,cjkwydzyj,55,11,103,0,0,0,1.2
262,lxdccyy,118,3,118,0,0,0,2
263,smallgyro,458,683,505,1,0,0,3.6
264,tenpercent,1312,12,648,0,0,0,2.2
265,pkuzp,2,0,25,0,0,0,0
266,Bug,3637,4078,999,0,0,0,7.6
267,darall,539,204,664,0,0,0,3
268,Exception,313,213,110,0,0,0,1.4
269,tonyking,169,17,119,0,0,0,0.5
270,dushang,9,0,89,0,0,0,0.3
271,wmxmichael,238,44,572,0,0,0,2.5
272,zilentor,211,85,95,0,0,0,2.7
273,lvbeibei,1,0,4,0,0,0,0
274,meizhen,42,0,83,0,0,0,1.3
275,shangguan,2,0,3,0,0,0,0
276,pathwell,2979,2013,222,1,0,0,4.1
277,tianyu,219,2,119,0,0,0,0.4
278,chyb,618,41,256,0,0,0,2.5
279,sailxu,2593,26,364,0,0,0,2.2
280,VIVA,27,0,119,0,0,0,0
281,TT,60,8,474,0,1,0,2.1
282,OS,1551,486,327,1,0,0,3.4
283,lehn,86,6,433,0,0,0,2.1
284,phoenix,1009,337,222,0,0,0,3.2
285,jadky,530,48,66,0,0,0,2.5
286,yanghe,3462,772,652,0,0,0,3.6
287,sch,514,123,395,0,0,0,2.8
288,vermouthma,131,7,249,0,0,0,2.1
289,xuming,1083,228,620,1,0,0,3.1
290,notprincess,75,2,101,0,0,0,0.2
291,waves,1042,8,584,0,0,0,2.1
292,jia,101,0,101,0,0,0,0.2
293,antique,1298,25,586,0,0,0,2.3
294,gc,131,196,526,0,0,0,3
295,kanfeng,1,0,21,0,0,0,0
296,Fwd,81,20,114,0,0,0,0.5
297,Graceup,8,2,74,0,0,0,0.2
298,dendis,3483,364,177,0,0,0,3.3
299,sp,94,332,297,0,0,0,3.2
300,Sour,43,0,116,0,0,0,0.1
301,bpdszxpddks,461,23,330,0,0,0,2.3
302,aprileesen,2,0,26,0,0,0,0
303,SD,1401,796,653,0,0,0,3.6
304,guaiguai,6539,216,664,0,0,0,3
305,churapika,1485,823,274,0,0,0,3.6
306,spartkle,63,25,274,0,0,0,2.3
307,JadeZ,84,1,78,0,0,0,0.6
308,Anagu,116,1,119,0,0,0,0.1
309,Goingla,14,0,38,0,0,0,0.2
310,lahu,1010,555,647,0,0,0,3.5
311,biubiubiubiu,50,0,117,0,0,0,0.3
312,scl,1648,139,662,0,0,0,2.9
313,RenalLS,1510,9,117,0,0,0,1.9
314,happy,114,42,105,0,0,0,1.3
315,freshmorn,1450,209,528,0,0,0,3
316,blueblueroad,952,16,469,0,0,0,2.2
317,krazyface,5059,16336,431,0,1,0,5.5
318,bluevswhite,9166,505,664,0,0,0,3.4
319,znatpku,2123,102,579,0,0,0,2.8
320,readline,1993,27,480,0,0,0,2.4
321,malasong,1810,494,228,0,0,0,3.4
322,jasonaaa,2,0,23,0,0,0,0
323,zlw,304,6,105,0,0,0,1
324,clayclinton,53,20,106,0,0,0,0.5
325,darksmith,1331,451,999,0,0,0,6.4
326,skyshine,571,0,620,0,0,0,2
327,iblue,36,3,103,0,0,0,0.5
328,candycc,17,14,114,0,0,0,0.7
329,highway,2573,348,530,0,0,0,3.2
330,Octavian,1,0,23,0,0,0,0
331,longxiang,19,0,110,0,0,0,0.7
332,Sicily,9,0,108,0,0,0,0
333,listorm,37,13,48,0,0,0,0.9
334,Calviiin,316,29,47,0,0,0,2.4
335,liurm,695,71,418,0,0,0,2.6
336,pekoxfley,856,63,641,0,0,0,2.6
337,pkussecho,11,1,114,0,0,0,0
338,mindwanderer,559,146,429,0,0,0,2.9
339,SpringC,216,9,650,0,0,0,2.1
340,sxsykid,679,8,650,0,0,0,2.1
341,zhangbinlu,221,3,119,0,0,0,1.8
342,rayila,6,0,102,0,0,0,0
343,zby,240,162,999,0,1,0,5.9
344,laobai,148,0,107,0,0,0,0.8
345,FireBrother,2777,11,582,0,0,0,2.2
346,wilber,2205,91,664,0,0,0,2.7
347,qumn,222,12,528,0,0,0,2.2
348,kevinsky,4654,43,300,0,0,0,2.5
349,chenyiwene,397,12,506,0,1,0,2.2
350,spyyes,222,17,118,0,0,0,1.9
351,Oliviakar,7,5,87,0,0,0,0.2
352,supercat,1225,256,364,0,0,0,3.1
353,flamefox,7014,13606,664,7,0,0,5.4
354,cpany,85,3,116,0,0,0,0.3
355,matple,82,2,118,0,0,0,0.2
356,fayeahh,881,31,527,0,1,0,2.4
357,Fallen,6805,17632,247,2,0,0,5.6
358,sunran,29,0,111,0,0,0,0.1
359,jec,2590,40,363,0,0,0,1.6
360,yangshuran,371,19,116,0,0,0,2
361,joypku,248,18,413,0,0,0,2.3
362,aaallen,453,102,200,0,0,0,2.8
363,cleveland,478,78,370,0,0,0,2.7
364,bazingar,119,13,424,0,0,0,2.2
365,gaoxy,922,16,461,0,0,0,2.2
366,alekcen,7,0,103,0,0,0,0
367,hehy,246,39,265,0,0,0,2.5
368,songkunming,255,39,659,0,0,0,2.5
369,dolphinld,1915,549,440,0,0,0,3.5
370,hbhslsr,277,45,564,1,0,0,2.5
371,Hermes,11,0,109,0,0,0,0
372,wuzhengd,209,10,116,0,0,0,1.7
373,xinmingyue,19,0,13,0,0,0,0.1
374,shuangdian,834,1724,504,0,0,0,4
375,jiajilong,38,0,67,0,0,0,0.5
376,Alexlyn,46,3,75,0,0,0,0.8
377,and,4,0,19,0,0,0,0
378,lhkevin,1032,11,586,0,0,0,2.2
379,Tahafut,196,7,307,0,0,0,2.1
380,Skywalker,276,19,573,0,0,0,2.3
381,JJpray,330,174,444,0,0,0,3
382,cwy,2,0,13,0,0,0,0
383,angbirds,90,0,117,0,0,0,0.6
384,minghuifan,8,0,35,0,0,0,0.2
385,Butadiene,309,33,110,0,0,0,2.1
386,GGYYTT,353,3,110,0,0,0,1.8
387,eaglerina,2,0,24,0,0,0,0
388,observerbb,5,0,75,0,0,0,0.1
389,going,483,0,429,0,0,0,2
390,hellohello,7,0,28,0,0,0,0
391,estherli,177,1,448,0,0,0,2
392,Jack,44,0,109,0,0,0,0.2
393,pkuswli,756,52,379,0,0,0,2.5
394,kiss,4715,1186,656,0,0,0,3.8
395,hungry,48,1,107,0,0,0,0.5
396,yueryuana,621,90,624,0,0,0,2.7
397,guapi,43,0,113,0,0,0,0.3
398,luckyone,191,10,89,0,0,0,1.1
399,suyan,587,107,256,0,0,0,2.8
400,pkuhenry,3,0,12,0,0,0,0
401,itspkuedu,39,0,117,0,0,0,0.1
402,JohnZhong,167,2,579,0,0,0,2
403,tabarek,944,86,663,0,0,0,2.7
404,zhuqiqi,670,2389,302,1,0,0,4.2
405,tflysky,434,10,453,0,0,0,2.2
406,anxinyi,2205,35,664,0,0,0,2.4
407,lyrics,721,14,93,0,0,0,2
408,SolomonWang,6022,1378,662,0,0,0,3.9
409,dan,9,0,119,0,0,0,0
410,lvx,1662,154,661,2,0,0,2.9
411,lcmip,1792,75,364,0,0,0,2.2
412,linger,2545,554,447,0,0,0,3.5
413,ningfeihong,202,0,37,0,0,0,1
414,zhzz,253,30,519,0,0,0,2.4
415,shallow,193,8,119,0,0,0,0.5
416,EstherR,16,2,94,0,0,0,0.5
417,Natusme,7,0,28,0,0,0,0
418,All,10486,11161,999,0,0,0,8.2
419,monkeyc,13,0,69,0,0,0,0.4
420,Halluci,2805,140,173,0,0,0,2.9
421,Shanghaixi,807,3243,497,5,0,0,4.4
422,WarIT,873,92,491,0,0,0,2.7
423,liuxyone,3,0,21,0,0,0,0
424,xiaomagee,422,17,302,0,0,0,2.3
425,boermail,901,45,258,0,0,0,2.5
426,inHeX,275,2,540,0,0,0,2
427,cgcg,341,1,119,0,0,0,0.4
428,naonao,2223,356,364,0,0,0,1.9
429,Ella,12025,51384,664,2,1,0,6.4
430,qwertyer,1713,7,119,0,0,0,1
431,zhaounique,299,17,362,0,0,0,2.3
432,maleo,1156,351,292,0,0,0,3.2
433,TsinaBF,2582,306,664,0,0,0,3.2
434,JohnsonLiu,2,0,28,0,0,0,0
435,pkuinfzhou,302,11,426,0,0,0,2.2
436,darkcellist,2798,134,663,0,0,0,2.9
437,CDO,1032,922,476,0,0,0,3.7
438,Ethen,691,4,87,0,0,0,2
439,dengzhibo,2,1,25,0,0,0,0
440,fndht,26,0,19,0,0,0,0
441,swf,1173,3,655,0,0,0,2
442,imsong,2078,9,462,0,0,0,2.1
443,hgs,38,0,73,0,0,0,0.8
444,asossos,360,0,236,0,0,0,1.6
445,shdcsh,30,0,99,0,0,0,0.2
446,BettyHC,121,7,371,0,0,0,2.1
447,johnking,9,0,118,0,0,0,0.1
448,leelill,166,6,106,0,0,0,1.4
449,zhizhi,25,1,119,0,0,0,0
450,hbxk,686,82,575,0,0,0,2.7
451,clover,401,33,119,0,0,0,0.8
452,loud,3459,564,477,0,0,0,3.5
453,dahaoren,265,18,98,0,0,0,1.7
454,godsun,3091,2682,639,0,0,0,6.3
455,brandnewday,2,0,2,0,0,0,0
456,lvjun,134,1,473,0,0,0,2
457,guested,1576,2376,999,0,0,0,7.2
458,kingsfoil,13577,6,364,0,0,0,1.9
459,chitosan,2543,2493,663,0,0,0,4.3
460,chengen,52,0,73,0,0,0,0.4
461,sevenEng,304,1,364,0,0,0,2
462,Huchaoyi,7,0,82,0,0,0,0
463,xunger,22,1,74,0,0,0,0.5
464,bulks,21,1,98,0,0,0,0
465,chrismile,165,7,602,0,0,0,2.1
466,Jullan,341,23,364,0,0,0,0.9
467,ychristian,1171,124,432,0,0,0,2.8
468,amberY,525,167,364,0,0,0,2.5
469,wanghaifeng,159,1,135,0,0,0,2
470,IB,3,0,2,0,0,0,0
471,wyqqiqi,1283,43,566,0,0,0,2.5
472,lcy,199,33,110,1,0,0,0.9
